SOR2	8683	9756
AAD4	17577	18566
CIN10	1248154	1249821
YDL094C	289572	290081
SPS1	1485566	1487038
YDR018C	482670	483860
GNP1	1466453	1468444
RSM24	813193	814152
SND1	832859	835492
PRP28	948518	950284
TFC6	1196679	1198697
ECM18	701397	702758
YDR338C	1147379	1149466
YDR526C	1491075	1491545
HSP31	1501447	1502160
EMI1	1470500	1471063
TSC13	426002	426934
CPR5	1071880	1072557
YDR271C	1008395	1008766
AFR1	614288	616150
RPN6	285391	286695
SCM3	211375	212046
VPS64	854279	856093
YHP1	1361120	1362181
UGO1	1399706	1401214
TMS1	665349	666770
YDL199C	101290	103353
PSP1	1456695	1459220
FAD1	372688	373608
BCP1	1195412	1196263
HEL2	1000104	1002023
FIN1	715747	716622
YDR544C	1525095	1525523
MPS1	400997	403291
YDR169C-A	794574	794723
SIP1	1315326	1317773
MSH6	640109	643837
YDR042C	540601	541203
DHH1	170410	171930
PCF11	921926	923806
YDR319C	1105003	1105827
NRG1	542674	543369
SAC6	713340	715379
VPS61	727711	728283
YDR239C	941057	943420
HNT1	239019	239606
ARX1	655686	657467
YDR476C	1410453	1411127
HEH2	1380055	1382046
PDC2	607304	610081
YDL071C	330666	331040
PDS1	680496	681617
URC2	1481085	1483403
RXT3	320668	321552
SEC26	937895	940816
YDR381C-A	1238312	1238850
YDL023C	411761	412081
RPS16B	306926	307789
EHD3	523211	524713
RIB3	1428354	1428980
RTR2	581908	582498
YDR278C	1017001	1017318
TFB5	603593	603811
DIA3	408451	409857
YDR109C	673520	675667
MTF2	373967	375289
MRK1	312951	314748
HNT2	1072746	1073488
MFB1	905455	906852
ESF1	1204497	1206383
DPL1	1050459	1052228
RKM2	852533	853972
HEM25	246689	247612
PRR2	74446	76545
AKR1	996029	998323
HXT6	1159608	1161320
BNA7	1323454	1324239
CRD1	201719	202570
MET32	963990	964565
YDL187C	125509	125838
DPP1	1030550	1031419
TPI1	555726	556472
PEX19	336249	337277
YPS7	1172386	1174176
SNU23	284581	285165
GYP7	34237	36477
ALT2	678241	679764
GLT1	149203	155640
STB3	792348	793889
YDL240C-A	22471	22608
YDL022C-A	409808	410056
STE14	1292372	1293091
YDR464C-A	1392492	1392680
YET3	329836	330447
YDL012C	431108	431517
CWC21	1420431	1420838
RDI1	218680	219288
VAM6	316971	320120
YDR354C-A	1185139	1185282
SLM3	392659	393912
YSP2	1120609	1124925
SLC1	362672	363583
NCB2	1266366	1266898
REG1	497835	500879
FMN1	935236	935892
CPR1	768512	769000
ERD1	1295598	1296686
NSI1	492556	494268
IWR1	253995	255126
COP1	194571	198176
QRI7	273653	274876
COX20	926293	926910
RPC11	547978	548310
YDR415C	1297037	1298161
FCF1	1149951	1150520
NOP6	77289	77966
OSH2	417663	421514
YDR413C	1294836	1295411
YDR391C	1257358	1258056
RLI1	626708	628534
SNU56	943674	945152
CSN9	818708	819196
RPO21	205360	210561
TRM1	691549	693261
SEC5	786306	789221
MTH1	1014401	1015702
JIP4	1407464	1410094
TRS120	1284069	1287938
YDR102C	657648	657980
PPH22	123865	124998
SSN2	1345676	1349938
UBC5	569234	569770
MKC7	744311	746101
YDL157C	174232	174588
OPI6	286998	287324
SUM1	1081128	1084316
MHF2	169366	169608
ITR1	1443713	1445467
YDL162C	167359	167715
CAB5	850274	850999
MRPL1	682724	683581
NTH1	450220	452475
INO2	698554	699468
ENA1	535192	538467
BAP3	548762	550576
YDR008C	462252	462602
VPS72	1424820	1427207
ADE8	1288215	1288859
ENA5	527422	530697
GCV1	484163	485365
YDR514C	1471548	1472999
RRI1	68997	70319
GET3	282112	283176
HO	46271	48031
RRP42	263313	264110
UTP4	1114433	1116763
SPG3	1456311	1456694
CDC13	62244	65018
HSP78	971808	974243
TMA17	264512	264964
KGD2	753675	755066
YDR133C	720962	721297
LSM6	1229349	1229609
PRP3	1404445	1405854
ARG82	810565	811632
YDR187C	836228	836746
YDR417C	1301555	1301926
ATG20	256633	258555
YDR426C	1321629	1322006
SSS1	616928	617170
DAD4	1108280	1108498
RPL41A	130407	130484
ENT5	766736	767971
NHP10	446967	447578
HTB1	914317	914712
SAM2	1453310	1454464
RPS17B	1354829	1355553
PRM7	381985	384081
YAP6	974631	975782
VPS3	1438115	1441150
BUD30	183318	183899
CNL1	1189199	1189567
DXO1	1217782	1219110
ATP5	1058176	1058814
PMP3	1013476	1013643
YDL185C-A	126608	126835
YDR545C-A	1530863	1531342
YDR269C	1005665	1005988
TSA2	1365072	1365662
NKP1	1239960	1240676
BCS1	1225166	1226536
TVP23	613405	614004
YDR344C	1162006	1162449
SWA2	1106095	1108101
PUS9	387513	388901
TIM22	67983	68606
KNH1	365068	365874
CDC9	164987	167254
