THI74	1338274	1339386
PAU10	1523249	1523611
IZH1	1434924	1435874
RBS1	122216	123589
MRPL28	1386073	1386516
NUM1	755628	763874
LYS20	133437	134723
HEM1	927452	929098
HOM2	770357	771454
LRS4	1339676	1340719
YDL206W	90176	92464
GLO2	1009010	1009834
CBS2	851228	852397
SLD5	1431012	1431896
BFR2	1059627	1061231
INH1	135179	135436
KEI1	1212848	1213614
HST4	842337	843449
SDC1	1399015	1399542
KRE2	1421157	1422485
SNA4	241418	241840
MRP10	372248	372535
YDR406W-A	1283799	1284044
YDR199W	854175	854540
YDL242W	18959	19312
YRB1	453045	453650
AHA1	892875	893927
YDL176W	142097	144223
GGA1	1190059	1191732
TFB3	1383811	1384776
YDR034W-B	521314	521469
YDR061W	574164	575783
MAK21	570649	573726
ESC2	1199183	1200553
VBA4	688227	690533
SNX41	1320064	1321941
RPL27B	1401770	1402564
VTC5	622112	624721
BSC2	1012252	1012959
IDP1	334835	336121
GPI11	1067731	1068390
FDC1	1512094	1513605
MZM1	1436217	1436588
YDR182W-A	829151	829354
TCP1	887232	888911
LYS21	227393	228715
CDC37	790328	791848
PMT7	1075865	1077853
PEX10	998864	999877
PTC1	439909	440754
YDL086W	301413	302234
SED1	600793	601809
YOS9	565927	567555
GRX2	1471017	1471448
YPQ2	1181801	1182754
COQ4	858137	859144
YDL247W-A	3762	3836
PKH3	1395121	1397817
RPN9	1322205	1323386
YDR193W	844554	844952
ATP17	1228611	1228916
SYF1	1298432	1301011
MFG1	36797	38173
INM2	1035995	1036873
ADA2	1356065	1357369
SCC2	821295	825776
YDL163W	166956	167258
PLM2	1451353	1452918
FRQ1	1222759	1223331
TRP4	1184747	1185889
TRS23	954288	954947
YDR157W	769931	770332
OMS1	1093763	1095178
TRM3	258915	263225
YRF1-1	1526321	1531711
RGT2	213351	215642
HLR1	1494586	1495857
GRX6	432330	433025
APC4	685882	687840
YDR118W-A	687768	687884
SAC3	771877	775782
MTC5	709549	712995
YDL034W	391783	392127
RRG1	580687	581784
ATP16	443029	443511
FYV1	491017	491502
RRP8	612073	613251
TOM1	1369790	1379596
RAD61	474046	475989
EBS1	862054	864708
SNM1	1414575	1415171
MRX14	682175	682492
YDL159W-A	172182	172313
OST4	38487	38597
YDL152W	182822	183187
